Nummer,Künstler,Werktitel,Jahr,Material,Größe (in cm),Auflage,Preis,Showroom,Online
SRE_01_26,Sybille Hutter,Abendkleid,2021,Grünbrauner Speckstein aus Brazilien,45x19x10,,175€,✓,
SRE_02_26,Sybille Hutter,Weiblicher Torso,2021,Grünbrauner Speckstein aus Brazilien,38x21x16,,190€,✓,
SRE_03_26,Sybille Hutter,Irokese,2023,Grünbrauner Speckstein aus Brazilien,46x16x20,,120€,✓,
SRE_04_26,Sybille Hutter,Entrückt,2023,Grüner Speckstein,23x9x7,,110€,✓,
SRE_05_26,Sybille Hutter,Griechenland,2023,Weißer Speckstein auf Granitplatte,16x23x8,,150€,✓,
SRE_06_26,Sybille Hutter,Torso Futura,2013,Grünschwarzer Speckstein,30x14x8,,120€,,
SRE_07_26,Siegmund Schlag,Sofortbild 2 (+ Basis SB5.1),2025,Mixed Materials,40x30,,280€,✓,
SRE_08_26,Siegmund Schlag,Sofortbild 4 (+ Basis SB3.20),2025,Mixed Materials,40x30,,280€,✓,
SRE_09_26,Siegmund Schlag,Sofortbild 5 (+ Basis SB5.2),2025,Mixed Materials,40x30,,280€,✓,
SRE_10_26,Siegmund Schlag,Sofortbild 9 (+ Basis SB3.19),2025,Mixed Materials,40x30,,280€,✓,
SRE_11_26,Cholud Kassem,weeping pillows,2023,Acryl & Grafit auf Fotokarton,61x48,20,530€,✓,
SRE_12_26,Cholud Kassem,weeping pillows,2023,Acryl & Grafit auf Fotokarton,61x48,20,530€,✓,
SRE_13_26,Chaz Bargainer,Untitled,,Mixed Materials,"33x38 m.R.
13x18 o.R.",,150€,✓,
SRE_14_26,Chaz Bargainer,Untitled,,Mixed Materials,"48x38 m.R.
30x20 o.R.",,150€,✓,
SRE_15_26,Chaz Bargainer,Untitled,,Mixed Materials,100x70,,850€,✓,
SRE_16_26,"Cedric Pintarelli ""Sweet Uno""",Kruste 1,2025,"Acryl, Verputz, Spray auf Leine
",24x18,,180€,✓,
SRE_17_26,"Cedric Pintarelli ""Sweet Uno""",Kruste 2,2025,"Acryl, Verputz, Spray auf Leine
",24x18,,180€,✓,
SRE_18_26,"Cedric Pintarelli ""Sweet Uno""",Untitled,2019,"Dispersion, Acryl, Spray auf Leine und Holz",121x100,,850€,✓,
SRE_19_26,Sarah Häfner,Connected In Softness,2026,Fine Art Print auf Bambuspapier,"70x50 m.R.
42x30 o.R.",,275€,✓,
SRE_20_26,Sarah Häfner,Equilibrium,2026,Fine Art Print auf Bambuspapier,"70x50 m.R.
42x30 o.R.",,275€,✓,
SRE_21_26,Sarah Häfner,Female Nature,2025,Fine Art Print auf Bambuspapier,"70 x 50 m.R.
42 x 30 o.R.",,275€,✓,
SRE_22_26,Sarah Häfner,Play It Your Way,2025,Fine Art Print auf Bambuspapier,"70 x 50 m.R.
42 x 30 o.R.",,275€,,
SRE_23_26,Sarah Häfner,Flower Frog,2025,Fine Art Print auf Bambuspapier,"70 x 50 m.R.
42 x 30 o.R.",,275€,,
SRE_24_26,Ralf Diefenbacher,Waldlichtung,2019,Pastellkreide,,,190€,✓,
SRE_25_26,Ralf Diefenbacher,Friedberger Klettersteig oberhalb Tannheimer Tal,2020,Aquarell und Pastell,"48 x 62 m.R.
24 x 39 o.R.",,250€,✓,
SRE_26_26,Ralf Diefenbacher,Heidelberg / Himmelsleiter,2026,Aquarell,"43 x 33 m.R.
30 x 20 o.R.",,250€,✓,
SRE_27_26,Ralf Diefenbacher,"Mühlrad ""außer Betrieb""",2026,Öl auf Leinwand,"31 x 31 m.R.
20 x 20 o.R.",,190€,✓,
SRE_28_26,Philipp Diefenbacher,Daidalos I,2023,Holzschnittdruck,41 x 32,,200€,✓,
SRE_29_26,Philipp Diefenbacher,Daidalos II,2023,Handstickerei,17 x 16,,250€,✓,
SRE_30_26,Philipp Diefenbacher,Daidalos III,2025,Acryl auf handgeschöpftem Papier,44 x 40,,300€,✓,
SRE_31_26,Sarah Häfner,Stille der Berührung,2024,Handstickerei,24 x 23,,unverkäuflich,✓,
SRE_32_26,Sarah Häfner,Berührbarkeit,2024,Handstickerei,15 x 14,,unverkäuflich,✓,
SRE_33_26,Philipp Diefenbacher,Weiblicher Akt I,2025,"Acryl, Gesso, Leim & Seidenpapier auf Holz",29 x 14,,280€,,
SRE_34_26,Johanna Mangold,Dream Collector,2022,"Wolle & Garne auf Stoff, getuftet",45 x 35,,1.780€,✓,
SRE_35_26,Johanna Mangold,Dream Collector,2022,"Wolle & Garne auf Stoff, getuftet",45 x 35,,1.780€,✓,